Date,Open,High,Low,Close,Adj Close,Volume
2021-07-05,127622.000000,127633.000000,126531.000000,126920.000000,126920.000000,5255600
2021-07-06,126919.000000,126919.000000,124866.000000,125095.000000,125095.000000,7651300
2021-07-07,125096.000000,127249.000000,125094.000000,127019.000000,127019.000000,8151400
2021-07-08,127013.000000,127013.000000,124310.000000,125428.000000,125428.000000,8881400
2021-07-12,125428.000000,127782.000000,125428.000000,127594.000000,127594.000000,7421600
2021-07-13,127594.000000,128420.000000,126441.000000,128168.000000,128168.000000,7152000
2021-07-14,128169.000000,129620.000000,128085.000000,128407.000000,128407.000000,0
2021-07-15,128407.000000,128976.000000,126922.000000,127468.000000,127468.000000,7418600
2021-07-16,127468.000000,128010.000000,125808.000000,125960.000000,125960.000000,7355800
2021-07-19,125958.000000,125958.000000,123317.000000,124395.000000,124395.000000,9210200
2021-07-20,124395.000000,125631.000000,123631.000000,125401.000000,125401.000000,7627500
2021-07-21,125404.000000,126112.000000,125247.000000,125929.000000,125929.000000,7148900
2021-07-22,125930.000000,126428.000000,125416.000000,126147.000000,126147.000000,6480400
2021-07-23,126140.000000,126204.000000,124422.000000,125053.000000,125053.000000,6051800
2021-07-26,125058.000000,126214.000000,125006.000000,126004.000000,126004.000000,6325500
2021-07-27,126004.000000,126026.000000,123670.000000,124612.000000,124612.000000,7313800
2021-07-28,124615.000000,126712.000000,124542.000000,126286.000000,126286.000000,9038200
2021-07-29,126285.000000,126476.000000,124917.000000,125675.000000,125675.000000,7488400
2021-07-30,125672.000000,125673.000000,121748.000000,121801.000000,121801.000000,9399200
2021-08-02,121803.000000,124536.000000,121797.000000,122516.000000,122516.000000,8565400
2021-08-03,122516.000000,123765.000000,120807.000000,123577.000000,123577.000000,9391300
2021-08-04,123577.000000,123587.000000,121072.000000,121801.000000,121801.000000,9164200
2021-08-05,121801.000000,123541.000000,121128.000000,121633.000000,121633.000000,10913000
2021-08-06,121633.000000,123287.000000,121568.000000,122810.000000,122810.000000,7499200
2021-08-09,122809.000000,123597.000000,122258.000000,123019.000000,123019.000000,7171500
2021-08-10,123021.000000,123513.000000,122061.000000,122202.000000,122202.000000,8297600
2021-08-11,122203.000000,122756.000000,120827.000000,122056.000000,122056.000000,8685200
2021-08-12,122056.000000,122095.000000,120534.000000,120701.000000,120701.000000,11066000
2021-08-13,120701.000000,121275.000000,120045.000000,121194.000000,121194.000000,10642200
2021-08-16,121191.000000,121191.000000,118684.000000,119180.000000,119180.000000,9741700
2021-08-17,119179.000000,119179.000000,116248.000000,117904.000000,117904.000000,11218200
2021-08-18,117904.000000,118739.000000,116489.000000,116643.000000,116643.000000,11745800
2021-08-19,116641.000000,117453.000000,114801.000000,117165.000000,117165.000000,10525900
2021-08-20,117163.000000,118308.000000,116040.000000,118053.000000,118053.000000,8929300
2021-08-23,118053.000000,118445.000000,117062.000000,117472.000000,117472.000000,7853000
2021-08-24,117474.000000,120463.000000,117474.000000,120211.000000,120211.000000,9181000
2021-08-25,120210.000000,120818.000000,119226.000000,120818.000000,120818.000000,7520100
2021-08-26,120817.000000,120833.000000,118719.000000,118724.000000,118724.000000,8426900
2021-08-27,118725.000000,120678.000000,118721.000000,120678.000000,120678.000000,7323600
2021-08-30,120677.000000,120684.000000,119354.000000,119740.000000,119740.000000,6391900
2021-08-31,119738.000000,120157.000000,117911.000000,118781.000000,118781.000000,11535600
2021-09-01,118793.000000,119942.000000,118067.000000,119396.000000,119396.000000,9523000
2021-09-02,119394.000000,119397.000000,116534.000000,116677.000000,116677.000000,9862800
2021-09-03,116679.000000,117396.000000,115583.000000,116933.000000,116933.000000,12517500
2021-09-06,116926.000000,117981.000000,116156.000000,117869.000000,117869.000000,5111300
2021-09-08,117866.000000,117866.000000,113172.000000,113413.000000,113413.000000,12254400
2021-09-09,113413.000000,116354.000000,112435.000000,115361.000000,115361.000000,13890600
2021-09-10,115370.000000,116896.000000,114286.000000,114286.000000,114286.000000,11155700
2021-09-13,114300.000000,117046.000000,114300.000000,116404.000000,116404.000000,9253400
